emoji,hexcode,cleaned_description,cleaned_llm_description,openmoji_tags
🎧️,1f3a7,headphone used listen music form audio podcasts platform display emoji large overear headphone shade black blue gray apple previously displayed emoji iconic ipod white earbuds followed black beat headphone switched display white airpods max,emoji represents headphone device used listening audio music podcasts often associated personal entertainment communication,earbud
🎨,1f3a8,palette used artist painting store mix paint color,emoji represents artist palette symbolizing creativity color process creating art often used express appreciation artistic work show support artist,"art, museum, painting, palette"
🎩,1f3a9,top hat worn traditional british wedding formal occasion also popular playing piece game monopoly,emoji represents top hat stylish iconic men hat often associated elegance formality sophistication,"clothing, hat, top, tophat"
🎪,1f3aa,circular big top circus tent triangle flag top,emoji represents circus tent symbolizing entertainment fun joy watching acrobatics clown performance colorful lively atmosphere,"circus, tent"
🎫,1f3ab,paper ticket may theatre show sporting event ticketed performance shown blue yellow grey platform,emoji represents ticket often used symbolize access event transportation experience convey idea purchasing attending participating something,admission
🎬️,1f3ac,board contains scene name number film person clap board shut top saying action cut indicate start stop scene filmed,emoji represents clapperboard tool used filmmaking mark start end scene symbolizing beginning movie specific scene,"clapper, movie"
🎭️,1f3ad,two mask often used map indicate theatre originate greek theatre mask tragedy comedy one mask frown smile,emoji represents performing art including theater dance music often used express creativity entertainment cultural experience,"art, mask, performing, theater, theatre"
🎮️,1f3ae,video game emoji shown major platform console gamepad dpad joystick button,emoji represents video game often used express interest gaming playtime symbolize gaming community culture,"controller, game"
🎯,1f3af,dart board dart hitting center bullseye region,emoji represents bullseye symbolizing accuracy focus hitting target often used sport like dart archery well metaphorical context achieving goal success,"dart, direct hit, game, hit, target"
🎰,1f3b0,gambling machine generally found casino show three wheel lever side,emoji represents slot machine popular casino game often associated entertainment luck chance win big prize,"game, slot"
🎱,1f3b1,emoji display black ball platform look similar magic ball toy despite fact emoji originally created intending represent game billiards pool common version,emoji represents pool ball commonly used game pool billiards symbolizing strategy competition leisure time activity,"8, ball, billiard, eight, game"
🎲,1f3b2,sixsided die used range board turnbased game commonly called dice refers plural die,emoji represents game die typically used board game gambling featuring six side number symbol often associated chance randomness,"dice, die, game"
🎳,1f3b3,tenpin bowling emoji showing bowling ball pin,emoji represents bowling pin often used sport bowling player roll ball knock pin typically fun social setting,"ball, game"
🎴,1f3b4,type card known hanafuda card japan used range different game require associating picture number card artwork emoji show full moon red sky card could theoretically display available card,emoji represents deck playing card flower design often used game cardbased activity symbolizing creativity nature leisure,"card, flower, game, japanese, playing"
🎵,1f3b5,music note emoji denote song lyric music related topic display two eighthnotes quaver british english connected beam,emoji represents musical note often used express music singing indicate song melody various context,"music, note"
🎶,1f3b6,three eighth note quaver british english used represent music singing sometimes inserted next quoted lyric make clear part song,emoji represents musical note often used express music singing indicate connection art creativity,"music, note, notes"
🎷,1f3b7,saxophone singlereed woodwind instrument instrument usually made brass,emoji represents saxophone popular woodwind instrument known distinctive sound use various music genre jazz classical,"instrument, music, sax"
🎸,1f3b8,guitar platform display red electric guitar discontinued emoji set lg htc displayed acoustic guitar previous version window twemoji,emoji represents guitar popular musical instrument six string often used various music genre associated creativity selfexpression entertainment,"instrument, music"
🎹,1f3b9,small section music keyboard differs computer keyboard showing white black key keyboard played pianist make music,emoji represents musical keyboard often used express music playing instrument indicate connection musicrelated activity,"instrument, keyboard, music, piano"
🎺,1f3ba,trumpet brass instrument played jazz band,emoji represents trumpet brass musical instrument often used orchestra jazz band signaling announcing event,"instrument, music"
🎻,1f3bb,violin emoji sometimes used context world smallest violin,emoji represents violin musical instrument known versatility use various music genre often associated classical music art,"instrument, music"
🎼,1f3bc,staff stave showing treble clef five horizontal line,emoji represents musical score symbolizing music creativity art often used express appreciation involvement music performing art,"music, score"
🎽,1f3bd,singlet running shirt shown sash,emoji represents running shirt often worn sport activity like marathon jogging symbolizing fitness health personal achievement,"athletics, running, sash, shirt"
🎾,1f3be,tennis racket racquet tennis ball ball shown certain platform including apple twitter whatsapp,emoji represents tennis popular sport played worldwide featuring tennis racket ball often used express excitement participation game,"ball, racquet"
🎿,1f3bf,pair ski shown platform alongside ski pole andor ski boot color design ski varies platform version also showing ski moving speed,emoji represents ski used winter sport recreation often associated snow mountain outdoor activity,"ski, snow"
🏀,1f3c0,orangecolored basketball originally intended display basketball hoop per previous design google samsung microsoft,emoji represents basketball popular sport played worldwide often used express excitement teamwork athleticism,"ball, hoop"
🏁,1f3c1,flag black white square shown checkerboard pattern used signal start end motor car race though often used indicate first vehicle within race crossed finish line,emoji represents chequered flag symbolizing end race competition often used sport like car racing motorsports,"checkered, chequered, racing"
🏂️,1f3c2,person snowboarding downhill ski resort wearing clothing designed cold climate,emoji represents snowboarder person ride snowboard snowcovered slope often used express excitement adventure participation winter sport,"ski, snow, snowboard"
🏂🏻,1f3c2-1f3fb,,emoji represents snowboarder light skin tone showcasing person engaged winter sport snowboarding often used express excitement adventure love winter activity,
🏂🏼,1f3c2-1f3fc,,emoji represents snowboarder mediumlight skin tone showcasing popular winter sport individual ride snow using snowboard perform various trick maneuver,
🏂🏽,1f3c2-1f3fd,,emoji represents snowboarder medium skin tone showcasing popular winter sport individual glide snow using snowboard binding often used express excitement interest winter activity,
🏂🏾,1f3c2-1f3fe,,emoji represents snowboarder mediumdark skin tone showcasing person engaging winter sport snowboarding often used express excitement adventure love winter activity,
🏂🏿,1f3c2-1f3ff,,emoji represents snowboarder dark skin tone showcasing person engaging winter sport expressing excitement enjoyment snowboarding,
🏃,1f3c3,person running large stride arm outstretched may wearing running shirt emoji specify gender shown man platform,emoji represents person running often used convey idea speed exercise sport also symbolize escaping something chasing something,"marathon, running"
🏃🏻,1f3c3-1f3fb,,emoji represents person running light skin tone often used convey idea exercise sport racing,
🏃🏻‍♀️,1f3c3-1f3fb-2640,,,
🏃🏻‍♀️‍➡️,1f3c3-1f3fb-2640-27a1,,,
🏃🏻‍♂️,1f3c3-1f3fb-2642,,,
🏃🏻‍♂️‍➡️,1f3c3-1f3fb-2642-27a1,,,
🏃🏻‍➡️,1f3c3-1f3fb-27a1,,,
🏃🏼,1f3c3-1f3fc,,emoji represents person running mediumlight skin tone often used convey idea exercise sport racing also symbolize speed energy determination,
🏃🏼‍♀️,1f3c3-1f3fc-2640,,,
🏃🏼‍♀️‍➡️,1f3c3-1f3fc-2640-27a1,,,
🏃🏼‍♂️,1f3c3-1f3fc-2642,,,
🏃🏼‍♂️‍➡️,1f3c3-1f3fc-2642-27a1,,,
🏃🏼‍➡️,1f3c3-1f3fc-27a1,,,
🏃🏽,1f3c3-1f3fd,,emoji represents person running medium skin tone often used convey idea movement exercise sport also symbolize speed energy determination,
🏃🏽‍♀️,1f3c3-1f3fd-2640,,,
🏃🏽‍♀️‍➡️,1f3c3-1f3fd-2640-27a1,,,
🏃🏽‍♂️,1f3c3-1f3fd-2642,,,
🏃🏽‍♂️‍➡️,1f3c3-1f3fd-2642-27a1,,,
🏃🏽‍➡️,1f3c3-1f3fd-27a1,,,
🏃🏾,1f3c3-1f3fe,,emoji represents person running mediumdark skin tone often used convey idea exercise sport racing,
🏃🏾‍♀️,1f3c3-1f3fe-2640,,,
🏃🏾‍♀️‍➡️,1f3c3-1f3fe-2640-27a1,,,
🏃🏾‍♂️,1f3c3-1f3fe-2642,,,
🏃🏾‍♂️‍➡️,1f3c3-1f3fe-2642-27a1,,,
🏃🏾‍➡️,1f3c3-1f3fe-27a1,,,
🏃🏿,1f3c3-1f3ff,,emoji represents person running dark skin tone often used convey idea movement exercise sport also symbolize speed determination perseverance,
🏃🏿‍♀️,1f3c3-1f3ff-2640,,,
🏃🏿‍♀️‍➡️,1f3c3-1f3ff-2640-27a1,,,
🏃🏿‍♂️,1f3c3-1f3ff-2642,,,
🏃🏿‍♂️‍➡️,1f3c3-1f3ff-2642-27a1,,,
🏃🏿‍➡️,1f3c3-1f3ff-27a1,,,
🏃‍♀️,1f3c3-2640,female version runner emoji,,"marathon, racing, running, woman"
🏃‍♀️‍➡️,1f3c3-2640-27a1,woman running rightwards large stride arm outstretched may wearing running shirt,,"marathon, racing, running, woman"
🏃‍♂️,1f3c3-2642,male version runner emoji,,"man, marathon, racing, running"
🏃‍♂️‍➡️,1f3c3-2642-27a1,man running rightwards large stride arm outstretched may wearing running shirt,,"man, marathon, racing, running"
🏃‍➡️,1f3c3-27a1,person running rightwards large stride arm outstretched may wearing running shirt,,"marathon, person running, running"
🏄️,1f3c4,person surfboard riding wave ocean wear wetsuit board short version,emoji represents person surfing outdoor water sport individual ride board navigating wave often associated relaxation adventure healthy lifestyle,surfing
🏄🏻,1f3c4-1f3fb,,emoji represents person surfing light skin tone indicating person lighter complexion often used express activity surfing water sport beach lifestyle,
🏄🏻‍♀️,1f3c4-1f3fb-2640,,,
🏄🏻‍♂️,1f3c4-1f3fb-2642,,,
🏄🏼,1f3c4-1f3fc,,emoji represents person surfing mediumlight skin tone indicating individual engaging popular water sport combine balance strength skill often used express adventure relaxation healthy lifestyle,
🏄🏼‍♀️,1f3c4-1f3fc-2640,,,
🏄🏼‍♂️,1f3c4-1f3fc-2642,,,
🏄🏽,1f3c4-1f3fd,,emoji represents person surfing medium skin tone indicating someone engaging popular water sport combine balance strength skill often used express excitement adventure healthy lifestyle,
🏄🏽‍♀️,1f3c4-1f3fd-2640,,,
🏄🏽‍♂️,1f3c4-1f3fd-2642,,,
🏄🏾,1f3c4-1f3fe,,emoji represents person surfing mediumdark skin tone showcasing individual engaging popular water sport combine balance strength skill often used express adventure relaxation healthy lifestyle,
🏄🏾‍♀️,1f3c4-1f3fe-2640,,,
🏄🏾‍♂️,1f3c4-1f3fe-2642,,,
🏄🏿,1f3c4-1f3ff,,emoji represents person surfing dark skin tone indicating person color often used express activity surfing water sport joy excitement water,
🏄🏿‍♀️,1f3c4-1f3ff-2640,,,
🏄🏿‍♂️,1f3c4-1f3ff-2642,,,
🏄‍♀️,1f3c4-2640,female version surfer emoji,,"surfing, woman"
🏄‍♂️,1f3c4-2642,male version surfer emoji,,"man, surfing"
🏅,1f3c5,gold medal given person sporting event race usually shown circular medal embedded star design attached colorful ribbon,emoji represents sport medal often awarded athlete achievement various competition symbolizing dedication hard work success sport,medal
🏆️,1f3c6,trophy given recognition achievement usually sport trophy emoji gold cup engraving bottom detailing award,emoji represents trophy award given winner sport competition achievement symbolizing success recognition accomplishment,prize
🏇,1f3c7,jockey riding horse horse race shown riding left screen major platform,emoji represents horse racing popular sport horse ridden jockey compete race often associated excitement strategy tradition,"horse, jockey, racehorse, racing"
🏇🏻,1f3c7-1f3fb,,emoji represents horse racing light skin tone showing jockey two horse competing race often used express excitement sport equestrian event,
🏇🏼,1f3c7-1f3fc,,emoji represents horse racing mediumlight skin tone showcasing jockey horse race often used express excitement sport equestrian event,
🏇🏽,1f3c7-1f3fd,,emoji represents horse racing medium skin tone showcasing jockey horse competitive race often used express excitement sport equestrian event,
🏇🏾,1f3c7-1f3fe,,emoji represents horse racing mediumdark skin tone showcasing sport horse raced often competition entertainment betting,
🏇🏿,1f3c7-1f3ff,,emoji represents horse racing dark skin tone showcasing sport horse raced often competition entertainment betting,
🏈,1f3c8,oval ball used game american football known gridiron country,emoji represents american football popular sport united state characterized oval shape way player throw catch run ball,"american, ball, football"
🏉,1f3c9,ovalshaped ball used game rugby varies slightly shape two main version game rugby union rugby league,emoji represents rugby football popular sport characterized physicality teamwork intense competition played two team player,"ball, football, rugby"
🏊️,1f3ca,person swimming pool ocean another body water lacked goggles prior version io swim facing left screen major platform,emoji represents person swimming often used convey activity sport leisure time spent water,swim
🏊🏻,1f3ca-1f3fb,,emoji represents person swimming light skin tone often used convey activity sport leisure time spent water,
🏊🏻‍♀️,1f3ca-1f3fb-2640,,,
🏊🏻‍♂️,1f3ca-1f3fb-2642,,,
🏊🏼,1f3ca-1f3fc,,emoji represents person swimming mediumlight skin tone often used convey activity sport leisure time spent water,
🏊🏼‍♀️,1f3ca-1f3fc-2640,,,
🏊🏼‍♂️,1f3ca-1f3fc-2642,,,
🏊🏽,1f3ca-1f3fd,,emoji represents person swimming medium skin tone often used convey activity sport leisure time spent water,
🏊🏽‍♀️,1f3ca-1f3fd-2640,,,
🏊🏽‍♂️,1f3ca-1f3fd-2642,,,
🏊🏾,1f3ca-1f3fe,,emoji represents person swimming mediumdark skin tone often used convey activity sport leisure time spent water,
🏊🏾‍♀️,1f3ca-1f3fe-2640,,,
🏊🏾‍♂️,1f3ca-1f3fe-2642,,,
🏊🏿,1f3ca-1f3ff,,emoji represents person swimming dark skin tone often used convey activity sport leisure involving water swimming,
🏊🏿‍♀️,1f3ca-1f3ff-2640,,,
🏊🏿‍♂️,1f3ca-1f3ff-2642,,,
🏊‍♀️,1f3ca-2640,female version swimmer emoji,,"swim, woman"
🏊‍♂️,1f3ca-2642,male version swimmer emoji,,"man, swim"
🏋️,1f3cb,person lifting barbell loaded weight head,,"lifter, weight"
🏋🏻,1f3cb-1f3fb,,emoji show person lifting weight light skin tone representing physical exercise fitness strength training,
🏋🏻‍♀️,1f3cb-1f3fb-2640,,,
🏋🏻‍♂️,1f3cb-1f3fb-2642,,,
🏋🏼,1f3cb-1f3fc,,emoji show person lifting weight representing physical exercise fitness strength training mediumlight skin tone variation,
🏋🏼‍♀️,1f3cb-1f3fc-2640,,,
🏋🏼‍♂️,1f3cb-1f3fc-2642,,,
🏋🏽,1f3cb-1f3fd,,emoji represents person medium skin tone lifting weight symbolizing exercise fitness strength training,
🏋🏽‍♀️,1f3cb-1f3fd-2640,,,
🏋🏽‍♂️,1f3cb-1f3fd-2642,,,
🏋🏾,1f3cb-1f3fe,,emoji show person mediumdark skin tone lifting weight representing physical exercise fitness strength training,
🏋🏾‍♀️,1f3cb-1f3fe-2640,,,
🏋🏾‍♂️,1f3cb-1f3fe-2642,,,
🏋🏿,1f3cb-1f3ff,,emoji show person dark skin tone lifting weight representing physical exercise fitness strength training,
🏋🏿‍♀️,1f3cb-1f3ff-2640,,,
🏋🏿‍♂️,1f3cb-1f3ff-2642,,,
🏋️‍♀️,1f3cb-2640,female version weight lifter emoji,,"weight lifter, woman"
🏋️‍♂️,1f3cb-2642,male version weight lifter emoji,,"man, weight lifter"
🏌️,1f3cc,person swinging golf club attempting hit golf ball toward flag green,,"ball, golf"
🏌🏻,1f3cc-1f3fb,,emoji represents person golfing light skin tone showcasing popular sport combine skill strategy outdoor recreation,
🏌🏻‍♀️,1f3cc-1f3fb-2640,,,
🏌🏻‍♂️,1f3cc-1f3fb-2642,,,
🏌🏼,1f3cc-1f3fc,,emoji represents person golfing mediumlight skin tone showcasing popular recreational activity involves hitting small ball club series hole course,
🏌🏼‍♀️,1f3cc-1f3fc-2640,,,
🏌🏼‍♂️,1f3cc-1f3fc-2642,,,
🏌🏽,1f3cc-1f3fd,,emoji represents person golfing medium skin tone showcasing popular recreational activity involves hitting small ball series hole using various club,
🏌🏽‍♀️,1f3cc-1f3fd-2640,,,
🏌🏽‍♂️,1f3cc-1f3fd-2642,,,
🏌🏾,1f3cc-1f3fe,,emoji represents person golfing mediumdark skin tone showcasing popular recreational activity involves hitting small ball club series hole course,
🏌🏾‍♀️,1f3cc-1f3fe-2640,,,
🏌🏾‍♂️,1f3cc-1f3fe-2642,,,
🏌🏿,1f3cc-1f3ff,,emoji represents person golfing dark skin tone showcasing popular recreational activity sportsmanship often used express enjoyment represent sport golf,
🏌🏿‍♀️,1f3cc-1f3ff-2640,,,
🏌🏿‍♂️,1f3cc-1f3ff-2642,,,
🏌️‍♀️,1f3cc-2640,female version golfer emoji,,"golf, woman"
🏌️‍♂️,1f3cc-2642,male version golfer emoji,,"golf, man"
🏍️,1f3cd,motorcycle otherwise known motorbike used sportracing purpose transportbased motorcycle use motor scooter,,racing
🏎️,1f3ce,racing car appears formula one vehicle rally car platform generally displayed red,,"car, racing"
🏏,1f3cf,cricket bat cricket ball also shown may displayed wicket present,emoji represents cricket game symbolizing popular sport played worldwide especially country like india australia england featuring two team competing bat ball,"ball, bat, game"
🏐,1f3d0,volleyball emoji showing round ball used sport played part summer olympic game,emoji represents volleyball popular sport played worldwide often used express participation sport teamwork recreation,"ball, game"
🏑,1f3d1,hockey stick ball used sport field hockey confused ice hockey stick puck,emoji represents field hockey sport played large field team using stick hit small ball opposing team goal,"ball, field, game, hockey, stick"
🏒,1f3d2,hockey stick puck used sport ice hockey confused field hockey stick ball,emoji represents ice hockey fastpaced team sport played ice player use stick shoot puck opposing team net,"game, hockey, ice, puck, stick"
🏓,1f3d3,paddle ping pong ball used sport table tennis,emoji represents ping pong popular sport played small ball racket often enjoyed recreational setting competitive tournament,"ball, bat, game, paddle, table tennis"
🏔️,1f3d4,mountain snow resting higher altitude similar appearance mount fuji emoji,,"cold, mountain, snow"
🏕️,1f3d5,campsite featuring tent tree perhaps campfire similar tent emoji,,camping
🏖️,1f3d6,beach showing sand umbrella protection sun emoji tends spike popularity summer month,,"beach, umbrella"
🏗️,1f3d7,construction site generally depicted tower crane shown lifting steel building material,,construction
🏘️,1f3d8,multiple house,,houses
🏙️,1f3d9,cityscape showing variety highrise building daytime often featuring several cloud sky,,city
🏚️,1f3da,house unoccupied become derelict state disrepair,,"derelict, house"
🏛️,1f3db,building shown column classical style sometimes used represent courthouse town hall post office stock exchange,,classical
🏜️,1f3dc,dry sandcovered desert generally depicted via cactus large rock formation,,desert
🏝️,1f3dd,small sandcovered island central palm tree occasionally also feature coconut two,,"desert, island"
🏞️,1f3de,national park generally displayed mountain river stream tree,,park
🏟️,1f3df,large capacity stadium featuring large amount seating sporting fan people attending show hosted stadium,,stadium
🏠️,1f3e0,house otherwise known home someone living suitable couple larger family perhaps housemate,emoji represents house symbolizing shelter home family often used express concept safe comfortable living space,home
🏡,1f3e1,suburbanlooking house tree flower shrub around garden,emoji represents house garden often used symbolize home shelter family cozy living space,"garden, home, house"
🏢,1f3e2,generic highrise office building generally found city active business hour,emoji represents office building symbolizing work business professional environment people collaborate conduct daily task,building
🏣,1f3e3,japanese post office featuring japanese postal mark front building microsofts design previously displayed mark instead featured building,emoji represents japanese post office traditional japanese gate often used symbolize travel welcoming cultural exploration,"japanese, japanese post office, post"
🏤,1f3e4,europeanstyle post office postal horn seen front commonly found logo european postal service,emoji represents post office place mail received sorted distributed destination symbolizing communication connection,"european, post"
🏥,1f3e5,place people taken receive medical care hospital large red cross front often used symbol health care,emoji represents hospital place people receive medical care treatment healthcare professional,"doctor, medicine"
🏦,1f3e6,retail bank branch people perform money related task also common location find atm,emoji represents bank often used symbolize finance wealth money management institution,building
🏧,1f3e7,square symbol showing letter atm standing automated teller machine,emoji represents atm sign often used indicate location people withdraw cash perform banking transaction,"atm, atm sign, automated, bank, teller"
🏨,1f3e8,hotel building displayed platform building many window letter h front easily confused love hotel hospital emoji microsoft previously depicted emoji bed,emoji represents hotel building provides lodging accommodation traveler tourist often featuring amenity service guest,building
🏩,1f3e9,love hotel hotel hired hour instead accommodation evening sometimes mistaken get well soon emoji due similarity appearance hospital,emoji represents love hotel unique type accommodation known themed room private space often late checkout time popular japan asian country,"hotel, love"
🏪,1f3ea,shop generally open longer hour regular supermarket sometimes hour per day sell range good snack meal hygiene product household item,emoji represents convenience store small retail business offer variety everyday product snack drink household item quick purchase,"convenience, store"
🏫,1f3eb,school building multiple storey clock front place child teenager attend education,emoji represents school symbolizing education learning growth often used express experience attending class studying various subject,building
🏬,1f3ec,large department store selling range product general public shown large building billboard,emoji represents department store symbolizing shopping consumerism wide variety product one roof,"department, store"
🏭️,1f3ed,industrial factory fluegas stack releasing exhaust air,emoji represents factory symbolizing industry production labor often used convey concept manufacturing largescale operation,building
🏮,1f3ee,red paper lantern hang outside izakaya japanese bar serf drink casual food generally depicted cylindrical black top base soft orange glow,emoji represents red paper lantern traditional chinese lighting used decoration celebration guidance often associated chinese culture festival night market,"bar, lantern, light, red"
🏯,1f3ef,traditional japanese castle shiro j usually made stone wood,emoji represents japanese castle symbol traditional japanese architecture history culture often featuring complex design multiple building wall tower,"castle, japanese"
🏰,1f3f0,castle style found france part europe,emoji represents castle large imposing fortress often associated royalty history medieval time symbolizing power protection grandeur,european
,1f3f3,white flag often shown waving post traditionally used sign surrender meaning flag emoji le defined,,
🏳️‍🌈,1f3f3-1f308,flag six color rainbow generally including red orange yellow green blue purple commonly used lgbt movement gay pride flag simply pride flag seen pride event,,"pride, rainbow"
🏳️‍📌‍⚙️,1f3f3-1f4cc-2699,,,
🏳️‍🟥,1f3f3-1f7e5,,,
🏳️‍🟦,1f3f3-1f7e6,,,
🏳️‍🟦‍🌌,1f3f3-1f7e6-1f30c,,,
🏳🟦🟩🟨,1f3f3-1f7e6-1f7e9-1f7e8,,,
🏳️‍🟧,1f3f3-1f7e7,,,
🏳️‍🟨,1f3f3-1f7e8,,,
🏳️‍🟩,1f3f3-1f7e9,,,
🏳️‍🟩‍⭐‍🟩,1f3f3-1f7e9-2b50-1f7e9,,,
🏳️‍🟪,1f3f3-1f7ea,,,
🏳️‍🟫,1f3f3-1f7eb,,,
🏳️‍⚧️,1f3f3-26a7,flag horizontal pale blue pale pink stripe single white stripe middle used transgender transgender pride flag commonly seen pride event,,"flag, light blue, pink, transgender, white"
🏴,1f3f4,blackcolored flag shown waving post,emoji represents black flag often associated anarchism piracy rebellion symbolizing freedom defiance resistance,waving
🏴️‍🅰️,1f3f4-1f170,,,
🏴‍☠️,1f3f4-2620,skull crossbones displayed black flag used pirate ship also known jolly roger,,"jolly roger, pirate, plunder, treasure"
🏴󠁡󠁶󠁿,1f3f4-e0061-e0076-e007f,,,
🏴󠁣󠁡󠁱󠁣󠁿,1f3f4-e0063-e0061-e0071-e0063-e007f,,,
🏴󠁤󠁥󠁢󠁥󠁿,1f3f4-e0064-e0065-e0062-e0065-e007f,,,
🏴󠁤󠁥󠁢󠁹󠁿,1f3f4-e0064-e0065-e0062-e0079-e007f,,,
🏴󠁥󠁳󠁡󠁮󠁿,1f3f4-e0065-e0073-e0061-e006e-e007f,,,
🏴󠁥󠁳󠁡󠁲󠁿,1f3f4-e0065-e0073-e0061-e0072-e007f,,,
🏴󠁥󠁳󠁡󠁳󠁿,1f3f4-e0065-e0073-e0061-e0073-e007f,,,
🏴󠁥󠁳󠁣󠁢󠁿,1f3f4-e0065-e0073-e0063-e0062-e007f,,,
🏴󠁥󠁳󠁣󠁥󠁿,1f3f4-e0065-e0073-e0063-e0065-e007f,,,
🏴󠁥󠁳󠁣󠁬󠁿,1f3f4-e0065-e0073-e0063-e006c-e007f,,,
🏴󠁥󠁳󠁣󠁭󠁿,1f3f4-e0065-e0073-e0063-e006d-e007f,,,
🏴󠁥󠁳󠁣󠁮󠁿,1f3f4-e0065-e0073-e0063-e006e-e007f,,,
🏴󠁥󠁳󠁣󠁴󠁿,1f3f4-e0065-e0073-e0063-e0074-e007f,,,
🏴󠁥󠁳󠁥󠁸󠁿,1f3f4-e0065-e0073-e0065-e0078-e007f,,,
🏴󠁥󠁳󠁧󠁡󠁿,1f3f4-e0065-e0073-e0067-e0061-e007f,,,
🏴󠁥󠁳󠁩󠁢󠁿,1f3f4-e0065-e0073-e0069-e0062-e007f,,,
🏴󠁥󠁳󠁭󠁣󠁿,1f3f4-e0065-e0073-e006d-e0063-e007f,,,
🏴󠁥󠁳󠁭󠁤󠁿,1f3f4-e0065-e0073-e006d-e0064-e007f,,,
🏴󠁥󠁳󠁭󠁬󠁿,1f3f4-e0065-e0073-e006d-e006c-e007f,,,
🏴󠁥󠁳󠁮󠁣󠁿,1f3f4-e0065-e0073-e006e-e0063-e007f,,,
🏴󠁥󠁳󠁰󠁶󠁿,1f3f4-e0065-e0073-e0070-e0076-e007f,,,
🏴󠁥󠁳󠁲󠁩󠁿,1f3f4-e0065-e0073-e0072-e0069-e007f,,,
🏴󠁥󠁳󠁶󠁣󠁿,1f3f4-e0065-e0073-e0076-e0063-e007f,,,
🏴󠁦󠁲󠁢󠁲󠁥󠁿,1f3f4-e0066-e0072-e0062-e0072-e0065-e007f,,,
🏴󠁧󠁢󠁥󠁮󠁧󠁿,1f3f4-e0067-e0062-e0065-e006e-e0067-e007f,flag england country united kingdom may show letter gbeng,emoji represents england country united kingdom known rich history culture iconic landmark tower london buckingham palace,"flag, flag: england, gbeng"
🏴󠁧󠁢󠁳󠁣󠁴󠁿,1f3f4-e0067-e0062-e0073-e0063-e0074-e007f,flag scotland country united kingdom may show letter gbsct,emoji represents scotland country united kingdom known rich history beautiful landscape unique culture including national symbol like thistle tartan,"flag, flag: scotland, gbsct"
🏴󠁧󠁢󠁷󠁬󠁳󠁿,1f3f4-e0067-e0062-e0077-e006c-e0073-e007f,flag wale country united kingdom may show letter gbwls,emoji represents wale country united kingdom known rich history stunning landscape vibrant culture including welsh language traditional music dance,"flag, flag: wales, gbwls"
🏴󠁵󠁳󠁣󠁡󠁿,1f3f4-e0075-e0073-e0063-e0061-e007f,,,
🏴󠁵󠁳󠁣󠁯󠁿,1f3f4-e0075-e0073-e0063-e006f-e007f,,,
🏴󠁵󠁳󠁴󠁸󠁿,1f3f4-e0075-e0073-e0074-e0078-e007f,,,
🏴󠁷󠁤󠁣󠁿,1f3f4-e0077-e0064-e0063-e007f,,,
🏵️,1f3f5,rosette stylized flowershaped decoration often presented award ribbon military medal appears motif ancient culture,,plant
🏷️,1f3f7,lightbrown yellow rectangular tag labelled attached key depicted various angle punched hole generally metal ring loop string,,label
🏸,1f3f8,racquet shuttlecock used sport badminton racquet generally depicted blue though apple racquet yellow,emoji represents badminton racket shuttlecock symbolizing popular sport involves hitting lightweight shuttlecock across net using racket,"birdie, game, racquet, shuttlecock"
🏹,1f3f9,bow arrow used sport archery may also used cupid,emoji represents bow arrow hunting combat weapon used various culture throughout history symbolizing skill precision archery sport,"archer, arrow, bow, sagittarius, zodiac"
🏺,1f3fa,tall ceramic jar two handle narrow neck foot represents amphora used ancient greek roman hold water wine,emoji represents amphora ancient greek vessel used storing transporting liquid often associated history art classical culture,"aquarius, cooking, drink, jug, zodiac"
🏻,1f3fb,,emoji represents light skin tone modifier used change color various emojis show lighter complexion often used combination emojis represent diverse skin tone,"skin tone, type 1–2"
🏼,1f3fc,,emoji represents mediumlight skin tone modifier used adjust skin tone emojis show mediumlight complexion promoting inclusiveness representation digital communication,"skin tone, type 3"
🏽,1f3fd,,emoji represents medium skin tone used indicate range skin color various emojis promoting inclusiveness representation digital communication,"skin tone, type 4"
🏾,1f3fe,,emoji represents mediumdark skin tone used indicate skin color character individual various context promoting representation inclusiveness,"skin tone, type 5"
🏿,1f3ff,,emoji represents dark skin tone used indicate person skin color various emojis promoting inclusiveness representation digital communication,"skin tone, type 6"
🐀,1f400,rat large rodent long tail known frequent big city depicted gray full profile four facing left pink ear foot tail,emoji represents rat small mammal known adaptability social behavior often used symbolically various culture different meaning resourcefulness pest,rat
🐁,1f401,eek mouse small rodent large ear long tail,emoji represents mouse small rodent known agility curiosity role ecosystem prey various predator,mouse
🐂,1f402,ox bovine used draft animal depicted brown full profile four facing left tail short horn,emoji represents ox domesticated bovine animal known strength intelligence historical significance agriculture transportation,"bull, taurus, zodiac"
🐃,1f403,water buffalo bovine used plough rice field part asia depicted gray black full profile four facing left tail broad horn curled tip,emoji represents water buffalo large herbivorous mammal known strength adaptability significant role agriculture transportation various asian country,"buffalo, water"
🐄,1f404,cow bovine farmed meat milk depicted full profile four facing left blackandwhite patched coat holstein friesian many platform pink udder horn,emoji represents cow domesticated mammal known role agriculture particularly providing milk meat leather cow also important many cultural religious practice worldwide,cow
🐅,1f405,tiger large cat orange coat black stripe depicted full profile four facing left long tail distinctive stripe platform white patch,emoji represents tiger large powerful carnivorous mammal known distinctive orange coat black stripe role apex predator various ecosystem,tiger
